vehicle_id,model_id,location_id,engine_id,title,year,used_or_new,vehicle_type,doors,seats,colour_ext_int,kilometres,price
K1084O5862H,Z7450N4640G,J4571Q8664T,W5297J9704Z,2012 Volkswagen Passat 125 TDI Highline,2012,USED,Front, 4 Doors, 5 Seats,Silver / Leather,106500,15850
C3349C3944Y,K1882U3354O,H2801B9010S,M5214P5055C,2018 Land Rover Range Rover Evoque TD4 (132KW) HSE Dynamic,2018,USED,AWD, 5 Doors, 5 Seats,Grey / Black,67226,53888
W6397A5902O,R8191K6869T,B9363N3883V,R7088A7223R,2014 Nissan Navara ST-R (4X4),2014,USED,4WD, 4 Doors, 5 Seats,White / -,104692,25990
J8737F2661S,S8640L1157A,N2293U3649Z,C5053J1245F,2017 Mazda CX-9 Touring (fwd),2017,USED,Front, 4 Doors, 7 Seats,Red / Black Leather,72596,38870
P4904Q3264G,Z6620H2284L,C8537Y1126A,F9890X8706E,2009 Toyota Estima 2.4 Aeras G Edition,2009,USED,Other,,,Grey / Grey,59000,19948
G4727B4407I,Y2994V4639X,H6290J6422X,P7808E4840I,2021 Toyota HiAce,2021,USED,Other,,,Silver / -,22759,68000
Z4432V3034E,F2582T1014R,B8784C8264V,F8129X4261J,2014 Mazda 2 NEO Sport,2014,USED,Front, 5 Doors, 5 Seats,Grey / Black,118523,15990
Y1634V9251L,S4679J1313F,P8576V1587H,M6371T2418S,2017 Hyundai I30 SR,2017,USED,Front, 4 Doors, 5 Seats,Blue / Black,19565,30997
A7691E7402Y,X8606T9845G,Z9094B8562S,H2132K8396V,2016 Toyota Hilux SR5 (4X4),2016,USED,4WD, 4 Doors, 5 Seats,Black / -,200825,43990
O3590A2846I,I9387L5056S,G9825N1743K,N8175M8080G,2018 Toyota RAV4 GXL (2WD),2018,USED,Front, 4 Doors, 5 Seats,Red / Black,90912,33990
M1872R9410G,U8394K9687K,N2032I1738Z,W9724N6932G,2020 Toyota Fortuner Crusade,2020,USED,4WD, 4 Doors, 7 Seats,White / -,45619,64990
R2069I5215T,V5447J6733B,G5832X4434Q,N6426H8073P,2018 Volkswagen Golf 110 TDI Highline,2018,USED,Front, 4 Doors, 5 Seats,Blue / 2018/09,54872,29950
W7177N6662A,I7151R7035O,H6688X2548I,B9793V3336S,2012 Mitsubishi Lancer ES Sportback,2012,USED,Front, 5 Doors, 5 Seats,Red / Black,145800,9990
J3965L9531F,H3844O7756K,B4001H9991L,M1049B9640F,2020 Toyota RAV4 GX (awd) Hybrid,2020,USED,AWD, 5 Doors, 5 Seats,Blue / -,61435,45525
Q2696Z8694Y,Z2791Y4921M,U3751K2503M,L8014Z9864P,2016 Kia RIO S,2016,USED,Front, 5 Doors, 5 Seats,Red / Cloth,93684,15886
W4035A1131V,S7581G3176F,U6411V8955C,K4316S6684L,2022 Ford Escape Vignale (fwd),2022,USED,Front, 4 Doors, 5 Seats,White / Black Leather,6794,48409
V4329T7828Q,T9592Z1014N,N5249D3615M,E3425U8370W,2016 Mercedes-Benz S-Class,2016,USED,Rear,,,Blue / -,58327,149990
K3683T7538H,D9010H5794D,G1277B8157S,B4051T7864X,2019 Toyota Corolla,2019,USED,Other,,,Blue / -,47292,34747
J3595T8881D,O7075Z5425Y,O8421X1594I,P5912J8221T,2016 Toyota Tarago GLI,2016,USED,Front, 4 Doors, 8 Seats,White / -,33176,36990
