location_id,location_name
W1216I9140L,"Minchinbury, NSW"
I8960A4625N,"Cardiff, NSW"
M6055Y1117C,"Cabramatta, NSW"
S1256R4625V,"Mcgraths Hill, NSW"
I5589L1378D,"Leichhardt, NSW"
D7197L4418L,"Brookvale, NSW"
R9664M3045B,"Minchinbury, NSW"
K9630J4713E,"Lidcombe, NSW"
P1066P3438R,"Minchinbury, NSW"
L4753Q9152M,"Kurri Kurri, NSW"
T2697J7613M,"Granville, NSW"
I5596K5280A,"Minchinbury, NSW"
M8494C3332A,"Bankstown, NSW"
L4551Q1378H,"Minchinbury, NSW"
Q9276D2382G,"Ryde, NSW"
A3134Q5117M,"East Maitland, NSW"
R8196T3638K,"Mount Druitt, NSW"
G4065G3630Q,"Banksia, NSW"
W8783H6014R,"Castle Hill, NSW"
P1555K6232F,"Blacktown, NSW"
P8248H5435X,"Adamstown, NSW"
X4011I5513F,"Rozelle, NSW"
A8410Z9434D,"Ingleburn, NSW"
F5022G4923S,"Smeaton Grange, NSW"
H7948F8840N,"Sylvania, NSW"
W5796O9385H,"Lidcombe, NSW"
Q8229U9837C,"Minchinbury, NSW"
I9730S9130U,"Cardiff, NSW"
A9450J7667U,"Jamisontown, NSW"
M1037L4498C,"Castle Hill, NSW"
E7273N1213M,"Minchinbury, NSW"
H5164T2280B,"Minchinbury, NSW"
G6771Y4138J,"Cardiff, NSW"
P7277U8045Z,"Brookvale, NSW"
O1941O1911H,"Sylvania, NSW"
F1963G5722V,"Homebush, NSW"
L3130W5082N,"Smithfield, NSW"
I6195Z1308Y,"Minchinbury, NSW"
D4262Z8832K,"Croydon, NSW"
U6244F9478B,"Blacktown, NSW"
N3050P8266R,"Granville, NSW"
U9563L1984D,"Kirrawee, NSW"
H5286E6782U,"Minchinbury, NSW"
E9804V8682P,"Richmond, NSW"
Y7969E2833A,"Cardiff, NSW"
I1709W8069F,"Rozelle, NSW"
V8752G9315L,"Granville, NSW"
I1777Y8545W,"Rozelle, NSW"
X4465Z8110D,"Milperra, NSW"
S7583F1402D,"Penrith, NSW"
N8311Z6041V,"Castle Hill, NSW"
Y2760O8492B,"Granville, NSW"
G7587X2911B,"Campbelltown, NSW"
H9979P8304R,"Smeaton Grange, NSW"
L1786F3037U,"Cardiff, NSW"
F6727L7589P,"Smeaton Grange, NSW"
I9121G3605C,"Pendle Hill, NSW"
U3479F9993Y,"Croydon, NSW"
Z8746I1391D,"Liverpool, NSW"
K4435N3689K,"Camden, NSW"
H8219F1168S,"Granville, NSW"
E1160Y7070X,"Rushcutters Bay, NSW"
B1311B9281J,"Lidcombe, NSW"
H4386G3764E,"Minchinbury, NSW"
C7636C8274N,"Granville, NSW"
Z4085X4340X,"Cardiff, NSW"
P7488Y6183Z,"Brookvale, NSW"
P1659Y1893D,"Kirrawee, NSW"
K6064C9013D,"Waitara, NSW"
S6431M4057G,"Banksia, NSW"
Z4393A3528U,"Singleton, NSW"
I5902G6118X,"Minchinbury, NSW"
F6700E6412N,"Five Dock, NSW"
C6587E4363J,"Lansvale, NSW"
O7237T3806E,"Sylvania, NSW"
U2201M2192N,"Leichhardt, NSW"
Z7786F6090F,"Cardiff, NSW"
