engine_id,cylinders,engine_size,fuel_type,fuel_consumption,transmission_type
K4992W7008B,5 cyl,"5 cyl, 3.2 L",Diesel,8.4 L / 100 km,Manual
B5205T3440Z,4 cyl,"4 cyl, 2 L",Unleaded,7.6 L / 100 km,Automatic
V7038D8029P,4 cyl,"4 cyl, 1.8 L",Unleaded,7.1 L / 100 km,Automatic
N4746Q7804L,6 cyl,"6 cyl, 3.6 L",Unleaded,10.3 L / 100 km,Automatic
Z7489C5238F,4 cyl,"4 cyl, 2.3 L",Diesel,5.8 L / 100 km,Automatic
J6355P1073L,4 cyl,"4 cyl, 2.8 L",Diesel,8.5 L / 100 km,Automatic
Y9731U2910K,4 cyl,"4 cyl, 2.2 L",Diesel,5.7 L / 100 km,Automatic
G7695F4058N,4 cyl,"4 cyl, 2 L",Unleaded,7.8 L / 100 km,Automatic
W2450W7884B,4 cyl,"4 cyl, 2.5 L",Unleaded,9 L / 100 km,Manual
Z6996Q3793J,6 cyl,"6 cyl, 4 L",Unleaded,12.2 L / 100 km,Automatic
C5645L7970O,-,-,-,-,-
M2162T2862E,4 cyl,"4 cyl, 2 L",Premium,7.9 L / 100 km,Automatic
R1207M7314D,4 cyl,"4 cyl, 2 L",Premium,8.1 L / 100 km,Automatic
U9634D4208G,4 cyl,"4 cyl, 2 L",Premium,7.4 L / 100 km,Manual
N9997T2377N,5 cyl,"5 cyl, 2.5 L",Premium,9.3 L / 100 km,Manual
R8740E9796H,4 cyl,"4 cyl, 2 L",Unleaded,6.9 L / 100 km,Automatic
I3207F9164Z,6 cyl,"6 cyl, 2.7 L",Diesel,9 L / 100 km,Automatic
J6249X1030U,6 cyl,"6 cyl, 3.5 L",Unleaded,9.3 L / 100 km,Automatic
Z6809T4678C,4 cyl,"4 cyl, 2.2 L",Diesel,8.1 L / 100 km,Manual
H3737Z2522M,4 cyl,"4 cyl, 1.6 L",Premium,7.3 L / 100 km,Automatic
C1188J4670R,6 cyl,"6 cyl, 3.3 L",Unleaded,11.6 L / 100 km,Automatic
N5174K1699R,4 cyl,"4 cyl, 1.6 L",Unleaded,6.8 L / 100 km,Automatic
N3498V1976B,4 cyl,"4 cyl, 2.5 L",Diesel,8.1 L / 100 km,Manual
V9444R4130V,-,-,-,-,Automatic
Q3803C9113A,4 cyl,"4 cyl, 2 L",Premium,6.5 L / 100 km,Automatic
Q3893T5982X,4 cyl,"4 cyl, 2 L",Unleaded,7.9 L / 100 km,Automatic
L5801P5557H,4 cyl,"4 cyl, 2 L",Unleaded,7.4 L / 100 km,Automatic
V1092X7576K,4 cyl,"4 cyl, 1.7 L",Diesel,6 L / 100 km,Automatic
U4800U4157T,4 cyl,"4 cyl, 1.6 L",Unleaded,6.3 L / 100 km,Automatic
F1283I4950T,4 cyl,"4 cyl, 1.8 L",Premium,6 L / 100 km,Automatic
I1755I1652T,6 cyl,"6 cyl, 3.2 L",Unleaded,10 L / 100 km,Automatic
C4753J5916K,4 cyl,"4 cyl, 2 L",Premium,8.1 L / 100 km,Automatic
X8989H2345K,4 cyl,"4 cyl, 2.5 L",Unleaded,8.4 L / 100 km,Automatic
V7631Q9135N,4 cyl,"4 cyl, 2.5 L",Hybrid,4.8 L / 100 km,Automatic
